"date_of_charge","time_of_charge","amount","description_of_charge"
"2020-06-20","13:44:16","178","bar/restaurant"
"2020-06-20","16:48:16","166","bar/restaurant"
"2020-06-20","17:05:02","141","bar/restaurant"
"2020-06-20","20:40:20","119","gym"
"2020-06-20","21:03:12","194","conference room"
"2020-06-20","21:26:33","100","sauna"
"2020-06-20","23:54:42","179","bar/restaurant"
"2020-06-21","10:26:01","171","conference room"
"2020-06-21","10:26:11","101","gym"
"2020-06-21","11:29:52","169","bar/restaurant"
"2020-06-21","11:43:33","179","bar/restaurant"
"2020-06-21","13:30:52","133","sauna"
"2020-06-21","15:32:44","194","conference room"
"2020-06-21","16:35:12","134","bar/restaurant"
"2020-06-21","18:10:52","159","bar/restaurant"
"2020-06-21","19:16:06","118","bar/restaurant"
"2020-06-21","20:06:56","189","sauna"
"2020-06-22","10:19:29","157","conference room"
"2020-06-22","10:45:47","177","conference room"
"2020-06-22","10:48:07","196","bar/restaurant"
"2020-06-22","12:21:45","154","bar/restaurant"
"2020-06-22","12:29:56","140","bar/restaurant"
"2020-06-22","15:40:15","171","conference room"
"2020-06-22","16:37:22","133","sauna"
"2020-06-22","16:54:41","162","bar/restaurant"
"2020-06-22","17:56:42","127","gym"
"2020-06-22","18:15:29","167","bar/restaurant"
"2020-06-22","19:16:44","196","conference room"
"2020-06-22","19:24:03","107","conference room"
"2020-06-22","21:04:19","184","bar/restaurant"
"2020-06-22","22:10:36","157","bar/restaurant"
"2020-06-23","10:50:44","145","bar/restaurant"
"2020-06-23","11:14:23","127","conference room"
"2020-06-23","13:01:27","102","conference room"
"2020-06-23","13:03:01","165","bar/restaurant"
"2020-06-23","13:36:35","187","sauna"
"2020-06-23","14:04:42","177","sauna"
"2020-06-23","18:53:52","191","conference room"
"2020-06-23","19:40:30","108","sauna"
"2020-06-23","21:31:28","173","conference room"
"2020-06-23","23:41:17","138","conference room"
"2020-06-24","14:36:14","168","conference room"
"2020-06-24","14:53:05","142","conference room"
"2020-06-24","16:16:14","108","bar/restaurant"
"2020-06-24","22:35:58","171","bar/restaurant"
"2020-06-25","10:43:10","112","conference room"
"2020-06-25","12:58:24","136","conference room"
"2020-06-25","13:36:20","163","bar/restaurant"
"2020-06-25","14:58:40","189","conference room"
"2020-06-25","15:48:04","153","conference room"
"2020-06-25","17:24:29","194","bar/restaurant"
"2020-06-25","19:16:46","174","conference room"
"2020-06-25","20:22:25","140","bar/restaurant"
"2020-06-25","22:47:06","106","bar/restaurant"
"2020-06-26","13:30:56","105","conference room"
"2020-06-26","15:16:08","100","conference room"
"2020-06-26","19:17:10","176","conference room"
"2020-06-26","23:08:30","175","conference room"
"2020-06-26","23:44:04","141","conference room"
"2020-06-27","11:17:44","140","sauna"
"2020-06-27","12:55:13","145","sauna"
"2020-06-27","13:05:06","100","conference room"
"2020-06-27","14:07:02","150","conference room"
"2020-06-27","20:14:48","189","conference room"
"2020-06-27","21:20:44","181","conference room"
"2020-06-28","11:13:43","156","sauna"
"2020-06-28","13:28:53","127","sauna"
"2020-06-28","20:56:34","153","conference room"
"2020-06-28","21:44:03","123","bar/restaurant"
"2020-06-28","23:21:02","197","sauna"
"2020-07-01","10:06:51","174","conference room"
"2020-07-01","13:58:54","186","sauna"
"2020-07-01","14:31:58","168","conference room"
"2020-07-01","15:33:47","165","conference room"
"2020-07-01","15:41:14","112","conference room"
"2020-07-01","18:24:12","163","sauna"
"2020-07-01","18:38:15","197","bar/restaurant"
"2020-07-01","19:12:19","170","bar/restaurant"
"2020-07-02","10:12:02","157","conference room"
"2020-07-02","12:20:53","183","bar/restaurant"
"2020-07-02","12:25:21","122","conference room"
"2020-07-02","13:37:49","178","conference room"
"2020-07-02","14:04:02","160","conference room"
"2020-07-02","14:12:52","187","conference room"
"2020-07-02","15:24:20","157","sauna"
"2020-07-02","15:48:24","183","conference room"
"2020-07-02","21:56:10","107","bar/restaurant"
"2020-07-02","21:58:40","111","conference room"
"2020-07-02","23:12:13","190","conference room"
"2020-07-03","13:12:06","148","bar/restaurant"
"2020-07-03","13:28:45","171","bar/restaurant"
"2020-07-03","14:11:57","126","conference room"
"2020-07-03","14:57:06","193","conference room"
"2020-07-03","15:09:09","166","bar/restaurant"
"2020-07-03","16:11:13","192","bar/restaurant"
"2020-07-03","17:11:25","105","conference room"
"2020-07-03","18:04:42","140","gym"
"2020-07-03","18:09:03","157","sauna"
"2020-07-03","19:54:10","151","bar/restaurant"
"2020-07-03","19:56:46","153","conference room"
"2020-07-03","22:43:01","113","sauna"
"2020-07-03","23:55:18","196","conference room"
"2020-07-04","10:44:52","158","bar/restaurant"
"2020-07-04","11:07:26","152","bar/restaurant"
"2020-07-04","11:07:43","131","conference room"
"2020-07-04","11:40:08","139","sauna"
"2020-07-04","15:47:27","111","gym"
"2020-07-04","16:24:47","197","bar/restaurant"
"2020-07-04","16:51:10","178","bar/restaurant"
"2020-07-04","19:25:42","175","bar/restaurant"
"2020-07-04","21:26:50","150","bar/restaurant"
"2020-07-04","23:05:05","126","bar/restaurant"
"2020-07-05","13:03:31","182","bar/restaurant"
"2020-07-05","13:24:13","105","conference room"
"2020-07-05","15:14:40","183","bar/restaurant"
"2020-07-05","15:36:08","118","bar/restaurant"
"2020-07-05","18:29:57","173","sauna"
"2020-07-05","21:27:29","145","sauna"
"2020-07-05","22:27:14","134","gym"
"2020-07-05","23:50:01","148","bar/restaurant"
"2020-07-06","10:06:06","170","conference room"
"2020-07-06","11:45:46","145","bar/restaurant"
"2020-07-06","13:50:00","147","bar/restaurant"
"2020-07-06","16:08:06","152","sauna"
"2020-07-06","17:52:10","103","bar/restaurant"
"2020-07-06","17:56:19","126","sauna"
"2020-07-06","21:28:37","102","bar/restaurant"
"2020-07-06","21:31:16","153","bar/restaurant"
"2020-07-06","21:56:25","175","bar/restaurant"
"2020-07-06","23:24:07","170","bar/restaurant"
"2020-07-07","11:37:15","124","bar/restaurant"
"2020-07-07","13:22:18","119","bar/restaurant"
"2020-07-07","15:17:53","195","bar/restaurant"
"2020-07-07","16:02:17","195","bar/restaurant"
"2020-07-07","16:47:37","159","sauna"
"2020-07-07","19:56:06","141","bar/restaurant"
"2020-07-07","22:21:36","165","gym"
"2020-07-08","11:23:16","123","sauna"
"2020-07-08","12:55:46","140","bar/restaurant"
"2020-07-08","15:55:12","151","sauna"
"2020-07-08","19:41:37","162","sauna"
"2020-07-08","19:45:15","135","bar/restaurant"
"2020-07-08","22:35:52","196","sauna"
"2020-07-08","23:08:00","100","bar/restaurant"
"2020-07-09","10:08:38","135","bar/restaurant"
"2020-07-09","11:49:23","119","bar/restaurant"
"2020-07-09","12:45:50","120","bar/restaurant"
"2020-07-09","16:16:47","120","bar/restaurant"
"2020-07-09","17:38:48","187","bar/restaurant"
"2020-07-09","20:08:02","132","gym"
"2020-07-09","20:17:32","185","bar/restaurant"
"2020-07-09","20:45:12","185","bar/restaurant"
"2020-07-09","21:06:08","166","gym"
"2020-07-10","10:49:55","101","bar/restaurant"
"2020-07-10","12:30:58","136","bar/restaurant"
"2020-07-10","13:09:38","143","bar/restaurant"
"2020-07-10","15:08:34","125","bar/restaurant"
"2020-07-10","17:09:24","162","gym"
"2020-07-10","21:35:06","111","bar/restaurant"
"2020-07-10","23:00:24","130","bar/restaurant"
"2020-07-10","23:45:29","103","bar/restaurant"
"2020-07-11","11:12:06","103","bar/restaurant"
"2020-07-11","13:02:24","178","bar/restaurant"
"2020-07-11","14:29:16","102","bar/restaurant"
"2020-07-11","16:48:29","115","gym"
"2020-07-11","19:24:24","193","bar/restaurant"
"2020-07-11","19:28:18","156","sauna"
"2020-07-11","20:39:24","192","bar/restaurant"
"2020-07-11","21:05:22","143","gym"
"2020-07-11","23:32:25","161","bar/restaurant"
"2020-07-12","10:27:36","183","sauna"
"2020-07-12","12:50:16","162","bar/restaurant"
"2020-07-12","14:11:10","197","bar/restaurant"
"2020-07-12","17:08:00","185","gym"
"2020-07-12","17:15:08","192","sauna"
"2020-07-12","17:16:58","104","gym"
"2020-07-12","17:46:32","143","gym"
"2020-07-12","19:15:40","106","sauna"
"2020-07-13","12:56:04","160","sauna"
"2020-07-13","13:19:42","126","bar/restaurant"
"2020-07-13","13:39:05","155","bar/restaurant"
"2020-07-13","14:55:00","126","gym"
"2020-07-13","17:39:17","130","sauna"
"2020-07-13","17:43:29","107","bar/restaurant"
"2020-07-13","19:42:39","171","sauna"
"2020-07-13","21:19:50","160","bar/restaurant"
"2020-07-13","22:00:38","125","sauna"
"2020-07-13","22:29:52","186","bar/restaurant"
"2020-07-14","10:37:11","176","bar/restaurant"
"2020-07-14","11:02:04","127","sauna"
"2020-07-14","12:02:04","168","bar/restaurant"
"2020-07-14","13:35:53","130","sauna"
"2020-07-14","16:37:28","153","sauna"
"2020-07-14","16:56:21","115","bar/restaurant"
"2020-07-15","13:33:08","112","gym"
"2020-07-15","18:38:57","158","bar/restaurant"
"2020-07-15","19:12:28","184","sauna"
"2020-07-15","23:48:48","146","bar/restaurant"
"2020-07-16","13:00:31","127","bar/restaurant"
"2020-07-16","13:25:20","180","sauna"
"2020-07-16","13:33:49","112","gym"
"2020-07-16","14:35:52","140","sauna"
"2020-07-16","16:13:03","141","sauna"
"2020-07-16","16:33:07","145","gym"
"2020-07-16","16:49:43","165","bar/restaurant"
"2020-07-16","18:56:58","118","gym"
"2020-07-16","19:17:57","172","gym"
"2020-07-16","20:47:14","179","sauna"
"2020-07-17","12:48:14","102","gym"
"2020-07-17","16:15:45","178","sauna"
"2020-07-17","16:44:32","197","sauna"
"2020-07-17","21:51:53","121","gym"
"2020-07-18","10:15:11","191","sauna"
"2020-07-18","10:18:36","184","conference room"
"2020-07-18","21:14:22","198","sauna"
"2020-07-19","12:22:31","184","conference room"
"2020-07-19","21:11:12","160","conference room"
"2020-07-21","13:23:35","114","conference room"
"2020-07-21","14:43:08","135","bar/restaurant"
"2020-07-21","15:21:16","140","bar/restaurant"
"2020-07-21","19:09:16","198","bar/restaurant"
"2020-07-21","20:07:32","163","conference room"
"2020-07-21","21:22:44","113","bar/restaurant"
"2020-07-21","21:29:42","101","conference room"
"2020-07-21","23:52:11","187","conference room"
"2020-07-22","11:39:51","155","sauna"
"2020-07-22","15:50:28","161","conference room"
"2020-07-22","16:48:15","118","bar/restaurant"
"2020-07-22","17:49:31","192","conference room"
"2020-07-22","18:25:37","172","bar/restaurant"
"2020-07-22","21:02:44","129","conference room"
"2020-07-22","21:57:40","178","bar/restaurant"
"2020-07-22","23:58:57","185","gym"
"2020-07-23","10:25:33","141","sauna"
"2020-07-23","10:34:41","159","sauna"
"2020-07-23","11:16:32","176","sauna"
"2020-07-23","12:35:13","123","sauna"
"2020-07-23","13:13:56","149","bar/restaurant"
"2020-07-23","14:03:31","113","sauna"
"2020-07-23","14:08:58","136","sauna"
"2020-07-23","15:19:14","195","sauna"
"2020-07-23","17:23:12","109","sauna"
"2020-07-23","17:34:45","195","sauna"
"2020-07-23","18:26:04","119","gym"
"2020-07-23","18:46:03","147","bar/restaurant"
"2020-07-24","10:03:45","172","conference room"
"2020-07-24","10:31:25","146","conference room"
"2020-07-24","10:57:11","199","gym"
"2020-07-24","11:18:44","182","conference room"
"2020-07-24","11:28:21","196","conference room"
"2020-07-24","11:33:55","172","sauna"
"2020-07-24","13:06:23","120","conference room"
"2020-07-24","15:46:37","145","sauna"
"2020-07-24","16:04:16","118","sauna"
"2020-07-24","16:04:48","102","conference room"
"2020-07-24","16:53:53","148","conference room"
"2020-07-24","17:12:38","119","sauna"
"2020-07-24","18:23:06","114","conference room"
"2020-07-24","19:50:38","162","sauna"
"2020-07-24","21:55:56","192","bar/restaurant"
"2020-07-24","22:07:15","139","sauna"
"2020-07-24","22:07:17","133","conference room"
"2020-07-25","10:10:44","187","sauna"
"2020-07-25","12:38:44","176","conference room"
"2020-07-25","13:13:44","165","sauna"
"2020-07-25","14:41:44","159","sauna"
"2020-07-25","19:00:09","142","gym"
"2020-07-25","19:02:10","191","conference room"
"2020-07-25","19:19:51","108","sauna"
"2020-07-25","19:30:53","173","sauna"
"2020-07-25","20:22:46","177","conference room"
"2020-07-25","20:40:03","153","sauna"
"2020-07-25","21:26:32","146","conference room"
"2020-07-26","11:39:46","196","sauna"
"2020-07-26","11:58:23","132","sauna"
"2020-07-26","12:42:45","155","sauna"
"2020-07-26","13:41:17","179","sauna"
"2020-07-26","13:41:36","116","sauna"
"2020-07-26","14:17:27","156","sauna"
"2020-07-26","15:02:29","169","sauna"
"2020-07-26","15:09:23","121","sauna"
"2020-07-26","16:22:19","140","sauna"
"2020-07-26","18:19:48","154","sauna"
"2020-07-26","19:03:12","128","sauna"
"2020-07-26","20:00:39","189","sauna"
"2020-07-26","20:09:35","183","sauna"
"2020-07-26","20:32:41","177","sauna"
"2020-07-26","22:47:37","169","conference room"
"2020-07-27","10:43:36","164","conference room"
"2020-07-27","13:15:10","127","sauna"
"2020-07-27","13:20:03","144","sauna"
"2020-07-27","14:19:14","181","sauna"
"2020-07-27","14:21:06","104","sauna"
"2020-07-27","15:53:45","194","conference room"
"2020-07-27","18:39:11","177","sauna"
"2020-07-27","18:42:53","125","sauna"
"2020-07-27","21:15:47","140","sauna"
"2020-07-27","23:39:22","172","sauna"
"2020-07-27","23:57:56","138","sauna"
"2020-07-28","10:24:33","164","conference room"
"2020-07-28","11:29:32","111","sauna"
"2020-07-28","12:19:46","159","conference room"
"2020-07-28","14:31:13","146","sauna"
"2020-07-28","17:13:44","176","conference room"
"2020-07-28","17:43:09","199","conference room"
"2020-07-28","22:38:03","140","sauna"
"2020-08-01","15:02:47","160","sauna"
"2020-08-01","16:39:58","109","sauna"
"2020-08-01","23:04:18","114","sauna"
"2020-08-01","23:47:35","167","sauna"
"2020-08-02","10:10:40","175","sauna"
"2020-08-02","12:15:04","170","sauna"
"2020-08-02","20:12:53","176","conference room"
"2020-08-02","20:56:42","106","sauna"
"2020-08-02","23:31:29","194","conference room"
"2020-08-02","23:39:50","112","sauna"
"2020-08-03","10:24:10","136","sauna"
"2020-08-03","12:14:43","110","sauna"
"2020-08-03","14:07:16","107","sauna"
"2020-08-03","20:29:15","195","sauna"
"2020-08-03","22:53:06","116","conference room"
"2020-08-04","11:28:37","175","sauna"
"2020-08-04","15:44:32","152","conference room"
"2020-08-04","17:01:08","124","sauna"
"2020-08-04","17:56:53","195","sauna"
"2020-08-04","18:24:09","193","sauna"
"2020-08-04","18:37:37","107","sauna"
"2020-08-05","10:42:21","121","conference room"
"2020-08-05","11:13:55","172","bar/restaurant"
"2020-08-05","11:29:57","109","bar/restaurant"
"2020-08-05","13:50:58","194","conference room"
"2020-08-05","17:49:51","181","conference room"
"2020-08-05","19:03:17","135","conference room"
"2020-08-05","20:07:49","171","conference room"
"2020-08-05","21:09:31","136","conference room"
"2020-08-05","22:07:46","115","conference room"
"2020-08-05","23:08:10","112","conference room"
"2020-08-06","10:53:25","105","bar/restaurant"
"2020-08-06","12:41:36","190","conference room"
"2020-08-06","13:08:44","129","bar/restaurant"
"2020-08-06","13:26:43","195","conference room"
"2020-08-06","14:05:19","121","conference room"
"2020-08-06","14:27:42","193","bar/restaurant"
"2020-08-06","15:29:31","152","sauna"
"2020-08-06","15:36:45","140","conference room"
"2020-08-06","15:41:12","118","bar/restaurant"
"2020-08-06","15:44:07","138","conference room"
"2020-08-06","16:37:46","112","conference room"
"2020-08-06","19:16:27","164","conference room"
"2020-08-06","20:38:53","186","conference room"
"2020-08-06","21:14:35","161","conference room"
"2020-08-06","21:26:40","119","conference room"
"2020-08-06","21:35:25","146","bar/restaurant"
"2020-08-06","22:02:04","198","conference room"
"2020-08-06","23:01:24","184","sauna"
"2020-08-07","10:25:44","152","conference room"
"2020-08-07","10:57:40","162","conference room"
"2020-08-07","11:41:06","192","conference room"
"2020-08-07","11:48:19","196","gym"
"2020-08-07","13:49:32","140","conference room"
"2020-08-07","14:39:08","137","sauna"
"2020-08-07","15:21:46","135","gym"
"2020-08-07","16:21:18","156","gym"
"2020-08-07","16:40:43","115","bar/restaurant"
"2020-08-07","17:07:18","165","bar/restaurant"
"2020-08-07","17:32:46","160","conference room"
"2020-08-07","18:35:19","164","bar/restaurant"
"2020-08-07","19:29:47","120","bar/restaurant"
"2020-08-07","20:41:04","133","bar/restaurant"
"2020-08-07","20:46:19","150","sauna"
"2020-08-07","22:13:58","174","conference room"
"2020-08-08","11:40:57","100","conference room"
"2020-08-08","11:44:45","101","bar/restaurant"
"2020-08-08","12:08:10","197","bar/restaurant"
"2020-08-08","12:46:41","123","conference room"
"2020-08-08","13:01:09","176","bar/restaurant"
"2020-08-08","13:27:48","174","conference room"
"2020-08-08","14:22:21","171","bar/restaurant"
"2020-08-08","18:08:23","144","sauna"
"2020-08-08","19:41:54","156","bar/restaurant"
"2020-08-08","20:52:21","110","bar/restaurant"
"2020-08-08","22:22:17","185","conference room"
"2020-08-08","22:53:20","179","conference room"
"2020-08-08","23:13:37","144","bar/restaurant"
"2020-08-09","10:14:36","118","conference room"
"2020-08-09","10:34:11","103","conference room"
"2020-08-09","11:38:00","137","bar/restaurant"
"2020-08-09","11:57:52","102","bar/restaurant"
"2020-08-09","12:02:02","182","bar/restaurant"
"2020-08-09","12:34:20","130","conference room"
"2020-08-09","18:17:57","121","gym"
"2020-08-09","19:54:37","153","bar/restaurant"
"2020-08-09","20:47:30","190","conference room"
"2020-08-09","23:11:04","168","conference room"
"2020-08-10","11:02:27","160","bar/restaurant"
"2020-08-10","13:47:09","105","bar/restaurant"
"2020-08-10","13:55:06","140","bar/restaurant"
"2020-08-10","19:29:08","148","bar/restaurant"
"2020-08-10","19:37:43","194","bar/restaurant"
"2020-08-10","19:56:48","124","bar/restaurant"
"2020-08-10","20:37:40","133","bar/restaurant"
"2020-08-10","21:40:23","153","bar/restaurant"
"2020-08-10","21:52:17","137","conference room"
"2020-08-10","22:36:13","100","gym"
"2020-08-11","13:08:48","106","bar/restaurant"
"2020-08-11","13:16:58","127","bar/restaurant"
"2020-08-11","15:16:30","108","bar/restaurant"
"2020-08-11","16:42:37","143","gym"
"2020-08-11","17:28:10","104","bar/restaurant"
"2020-08-11","17:45:14","159","gym"
"2020-08-11","18:22:40","168","bar/restaurant"
"2020-08-11","19:44:03","103","bar/restaurant"
"2020-08-11","20:17:25","163","bar/restaurant"
"2020-08-11","23:54:09","181","bar/restaurant"
"2020-08-12","14:28:13","130","bar/restaurant"
"2020-08-12","14:30:52","141","bar/restaurant"
"2020-08-12","14:47:23","151","bar/restaurant"
"2020-08-12","15:28:29","179","bar/restaurant"
"2020-08-13","11:41:52","101","sauna"
"2020-08-13","12:57:04","159","bar/restaurant"
"2020-08-13","13:25:11","181","gym"
"2020-08-13","14:42:02","143","sauna"
"2020-08-13","14:42:13","158","sauna"
"2020-08-13","15:40:55","154","bar/restaurant"
"2020-08-13","20:17:08","168","sauna"
"2020-08-13","21:36:06","179","sauna"
"2020-08-13","22:57:33","189","sauna"
"2020-08-13","23:35:31","105","bar/restaurant"
"2020-08-14","10:19:52","182","bar/restaurant"
"2020-08-14","11:02:57","120","sauna"
"2020-08-14","11:17:53","167","bar/restaurant"
"2020-08-14","11:22:41","179","sauna"
"2020-08-14","13:36:01","173","sauna"
"2020-08-14","14:08:44","141","sauna"
"2020-08-14","14:37:27","104","bar/restaurant"
"2020-08-14","16:15:30","148","bar/restaurant"
"2020-08-14","19:45:53","118","sauna"
"2020-08-14","20:22:10","189","sauna"
"2020-08-14","21:12:53","170","sauna"
"2020-08-14","22:57:20","113","sauna"
"2020-08-15","10:58:55","160","sauna"
"2020-08-15","11:18:38","104","sauna"
"2020-08-15","15:23:26","131","sauna"
"2020-08-15","15:38:41","161","bar/restaurant"
"2020-08-15","20:05:40","111","bar/restaurant"
"2020-08-15","21:31:18","147","sauna"
"2020-08-15","22:23:46","145","sauna"
"2020-08-16","14:07:58","126","sauna"
"2020-08-16","14:10:09","123","bar/restaurant"
"2020-08-16","17:46:49","134","sauna"
"2020-08-16","18:06:47","191","bar/restaurant"
"2020-08-16","19:17:49","151","bar/restaurant"
"2020-08-16","21:33:44","192","sauna"
"2020-08-16","21:42:36","115","bar/restaurant"
"2020-08-17","10:02:42","148","bar/restaurant"
"2020-08-17","10:43:25","114","bar/restaurant"
"2020-08-17","11:10:10","139","bar/restaurant"
"2020-08-17","12:14:56","129","sauna"
"2020-08-17","12:31:55","154","sauna"
"2020-08-17","12:43:31","182","sauna"
"2020-08-17","12:49:47","178","bar/restaurant"
"2020-08-17","13:32:00","166","sauna"
"2020-08-17","13:40:04","112","sauna"
"2020-08-17","14:09:08","129","bar/restaurant"
"2020-08-17","16:29:31","131","bar/restaurant"
"2020-08-17","16:53:31","110","bar/restaurant"
"2020-08-17","17:11:11","102","bar/restaurant"
"2020-08-17","19:08:15","110","sauna"
"2020-08-17","21:19:36","179","bar/restaurant"
"2020-08-17","21:48:25","128","sauna"
"2020-08-17","22:58:40","155","bar/restaurant"
"2020-08-17","23:40:11","142","bar/restaurant"
"2020-08-18","10:13:45","185","bar/restaurant"
"2020-08-18","12:11:30","175","bar/restaurant"
"2020-08-18","12:29:28","149","conference room"
"2020-08-18","13:02:10","102","bar/restaurant"
"2020-08-18","15:49:32","191","bar/restaurant"
"2020-08-18","16:50:52","162","bar/restaurant"
"2020-08-18","18:17:16","117","conference room"
"2020-08-18","21:37:25","173","bar/restaurant"
"2020-08-18","22:31:18","106","bar/restaurant"
"2020-08-18","22:38:22","119","bar/restaurant"
"2020-08-18","22:42:50","115","sauna"
"2020-08-19","16:07:45","116","conference room"
"2020-08-19","16:15:28","167","conference room"
"2020-08-19","17:06:01","105","bar/restaurant"
"2020-08-19","18:34:30","186","bar/restaurant"
"2020-08-19","19:21:12","136","conference room"
"2020-08-19","21:26:54","190","bar/restaurant"
"2020-08-19","21:48:13","134","bar/restaurant"
"2020-08-19","22:20:32","140","conference room"
"2020-08-19","22:20:47","103","conference room"
"2020-08-19","23:57:25","112","bar/restaurant"
"2020-08-20","11:02:34","107","conference room"
"2020-08-20","11:12:18","156","bar/restaurant"
"2020-08-20","12:44:28","164","conference room"
"2020-08-20","14:06:43","164","conference room"
"2020-08-20","16:50:46","126","bar/restaurant"
"2020-08-20","17:07:45","160","bar/restaurant"
"2020-08-20","17:56:37","196","bar/restaurant"
"2020-08-20","18:31:51","106","bar/restaurant"
"2020-08-20","19:07:51","101","bar/restaurant"
"2020-08-20","20:28:09","165","conference room"
"2020-08-20","20:28:42","121","bar/restaurant"
"2020-08-20","20:43:02","141","conference room"
"2020-08-20","20:46:01","102","bar/restaurant"
"2020-08-20","20:56:03","162","bar/restaurant"
"2020-08-20","22:00:09","165","bar/restaurant"
"2020-08-20","23:39:03","155","bar/restaurant"
"2020-08-20","23:47:03","199","bar/restaurant"
"2020-08-21","10:10:09","102","bar/restaurant"
"2020-08-21","13:35:07","160","bar/restaurant"
"2020-08-21","15:23:37","193","conference room"
"2020-08-21","17:26:21","154","conference room"
"2020-08-21","17:39:27","199","conference room"
"2020-08-21","17:45:37","191","conference room"
"2020-08-21","19:29:37","142","conference room"
"2020-08-21","20:25:10","143","bar/restaurant"
"2020-08-21","21:34:56","182","bar/restaurant"
"2020-08-21","22:41:47","197","bar/restaurant"
"2020-08-21","23:07:14","137","bar/restaurant"
"2020-08-21","23:11:51","129","bar/restaurant"
"2020-08-22","10:29:55","113","bar/restaurant"
"2020-08-22","10:56:12","175","bar/restaurant"
"2020-08-22","11:50:02","104","conference room"
"2020-08-22","11:57:26","102","conference room"
"2020-08-22","12:13:48","129","bar/restaurant"
"2020-08-22","14:25:17","119","bar/restaurant"
"2020-08-22","15:02:15","185","bar/restaurant"
"2020-08-22","16:33:36","173","conference room"
"2020-08-22","16:35:40","145","bar/restaurant"
"2020-08-22","16:48:04","182","conference room"
"2020-08-22","17:18:31","116","bar/restaurant"
"2020-08-22","18:06:36","135","bar/restaurant"
"2020-08-22","18:55:31","136","bar/restaurant"
"2020-08-22","19:28:35","181","bar/restaurant"
"2020-08-22","20:08:05","178","bar/restaurant"
"2020-08-22","23:12:56","160","bar/restaurant"
"2020-08-22","23:40:03","173","conference room"
"2020-08-22","23:58:13","127","bar/restaurant"
"2020-08-23","13:36:56","101","bar/restaurant"
"2020-08-23","16:37:08","100","bar/restaurant"
"2020-08-23","17:12:12","169","bar/restaurant"
"2020-08-23","17:30:23","104","bar/restaurant"
"2020-08-23","19:36:13","118","bar/restaurant"
"2020-08-24","12:51:01","134","bar/restaurant"
"2020-08-24","13:56:35","167","bar/restaurant"
"2020-08-24","14:38:15","115","conference room"
"2020-08-24","15:47:54","176","bar/restaurant"
"2020-08-24","16:39:00","142","conference room"
"2020-08-24","16:57:08","178","bar/restaurant"
"2020-08-24","17:08:09","164","conference room"
"2020-08-24","18:35:48","134","conference room"
"2020-08-24","21:37:19","112","bar/restaurant"
"2020-08-24","22:49:20","130","bar/restaurant"
"2020-08-25","10:49:02","184","bar/restaurant"
"2020-08-25","11:44:36","103","sauna"
"2020-08-25","12:11:18","153","bar/restaurant"
"2020-08-25","12:20:05","100","bar/restaurant"
"2020-08-25","16:02:58","193","bar/restaurant"
"2020-08-25","17:21:12","183","bar/restaurant"
"2020-08-25","18:56:56","107","bar/restaurant"
"2020-08-25","19:12:47","119","bar/restaurant"
"2020-08-25","19:28:12","170","bar/restaurant"
"2020-08-25","19:42:43","163","conference room"
"2020-08-25","22:04:16","164","bar/restaurant"
"2020-08-26","14:40:38","126","conference room"
"2020-08-26","15:52:27","170","sauna"
"2020-08-26","16:03:31","100","conference room"
"2020-08-26","16:48:32","113","sauna"
"2020-08-26","16:52:11","148","bar/restaurant"
"2020-08-26","17:16:13","117","bar/restaurant"
"2020-08-26","17:19:14","193","conference room"
"2020-08-26","17:50:49","199","bar/restaurant"
"2020-08-26","18:15:19","177","bar/restaurant"
"2020-08-26","19:17:09","120","bar/restaurant"
"2020-08-26","19:27:40","128","conference room"
"2020-08-26","20:18:56","143","conference room"
"2020-08-26","20:28:18","107","bar/restaurant"
"2020-08-26","20:58:14","121","bar/restaurant"
"2020-08-26","21:32:14","103","sauna"
"2020-08-26","21:49:03","167","conference room"
"2020-08-26","23:39:09","174","bar/restaurant"
"2020-08-26","23:40:53","177","bar/restaurant"
"2020-08-27","10:06:15","124","bar/restaurant"
"2020-08-27","10:40:13","178","bar/restaurant"
"2020-08-27","10:41:40","183","bar/restaurant"
"2020-08-27","12:12:24","167","bar/restaurant"
"2020-08-27","12:31:17","144","conference room"
"2020-08-27","13:40:00","147","bar/restaurant"
"2020-08-27","15:01:11","111","bar/restaurant"
"2020-08-27","15:10:43","139","bar/restaurant"
"2020-08-27","15:25:45","182","bar/restaurant"
"2020-08-27","15:37:42","197","bar/restaurant"
"2020-08-27","16:21:11","179","conference room"
"2020-08-27","16:28:42","104","bar/restaurant"
"2020-08-27","16:53:06","150","bar/restaurant"
"2020-08-27","18:06:17","140","bar/restaurant"
"2020-08-27","20:11:32","195","sauna"
"2020-08-27","20:13:40","196","bar/restaurant"
"2020-08-27","20:20:01","146","bar/restaurant"
"2020-08-27","20:29:29","106","sauna"
"2020-08-27","20:42:22","178","sauna"
"2020-08-27","20:53:07","108","gym"
"2020-08-27","21:37:22","116","conference room"
"2020-08-27","21:55:58","134","conference room"
"2020-08-27","22:17:29","101","gym"
"2020-08-28","10:48:51","107","bar/restaurant"
"2020-08-28","13:20:07","167","bar/restaurant"
"2020-08-28","13:55:52","116","gym"
"2020-08-28","14:21:10","151","sauna"
"2020-08-28","14:56:52","132","conference room"
"2020-08-28","15:08:50","103","conference room"
"2020-08-28","18:03:28","151","conference room"
"2020-08-28","21:36:14","152","sauna"
"2020-08-28","22:36:34","122","conference room"
"2020-09-01","10:56:33","152","bar/restaurant"
